63186	336656	336650	348749	336748	336658	336651	336793	494966	336798	337624	336667	337161	409143	517813	337165	336652	337096	336661	336804	470701	337174	336653	336812	336860	337484	336679	337462	337889	337063	392202	337264	393174	337186	337064	337231	336896	336813	336681	336961	337082	336717	336952	336731	336668	337861	337125	336665	336659	337045	336739
93834	336785	336679	336751	336748	336739	337082	337084	336966	336896	336651	510490	336964	336661	336812	336656	336804	337045	336653	336742	336839	392214	336658	576295	337590	409143	336650	337063	336681	390505	336652	337186	339241	469362	471772	393677	338192	337125	22168	336872	336945	336802	393174	337626	337088	336857	337264	336665	336664	337077	336764
30260	337336	337676	336838	337045	337059	336679	494047	336731	577072	337174	336665	336787	337623	337063	336804	337077	22168	336658	336650	337305	451475	336657	336651	336735	336664	336659	336652	572515	336857	336661	336748	336656	337260	336739	336860	348749	337777	390295	336653	392841	338003	337861	337186	337621	336654	336792	336751	337465	337203	336896
67549	22168	336650	337285	337223	336652	336651	336879	336802	336656	336661	336658	336653	337775	336667	336828	336714	336812	336665	336945	336808	467501	348749	336659	337260	336739	338262	451434	337305	336959	392796	339241	336660	337076	338058	337626	336960	336902	394183	337203	336735	494047	337174	392705	348750	337187	338013	390680	506146	601013	471772
46606	336679	336653	336731	384992	336751	337092	336657	337084	336896	336952	336748	336651	576842	337274	336650	337397	337305	336713	22168	467193	336661	445784	390295	336804	577072	336739	336787	337941	337315	336681	338192	337841	348749	336812	337177	386190	556303	337094	337889	337694	336924	337086	337174	385184	392796	337088	337023	337063	337187	392841
60902	336751	336679	336653	336650	577072	336657	336966	336952	336651	336661	336739	336665	336731	336659	337174	348749	337264	336748	337076	394640	336804	445784	338339	337623	336812	337077	22168	336654	336743	337305	337084	336714	337694	336664	336793	337088	390295	336896	337100	337485	339326	337627	336787	336656	337861	506146	338058	336652	336760	336785
34622	336808	385184	337484	337625	336651	338339	494780	336658	336731	336679	517813	392550	336657	336659	337125	338058	336961	22168	573326	392841	336896	393797	336714	336787	338059	336653	393174	336654	336661	336650	336762	336664	336751	337077	337174	337694	336683	336813	337045	336785	336802	348749	336799	337165	336952	336668	336665	451434	337063	337264
34620	336658	337621	336764	336651	348749	409143	577072	336748	337088	336868	336652	393174	336679	336751	337338	337843	393736	336650	572515	338262	517725	428084	467501	338428	337690	494966	338329	337757	336797	336742	337236	338088	337554	409196	336813	336660	337186	337954	336982	336808	337223	337077	336896	336731	337285	338220	336812	337581	348225	573326
29267	336679	336751	336661	336714	336748	336657	336653	336651	336966	22168	336804	336731	336952	337084	337174	336961	336650	577072	348749	336654	337315	337089	336652	336798	337045	336743	337063	336665	336739	336668	336812	336656	393174	337125	576842	445784	337336	336681	336659	336762	339326	336760	336792	337485	336658	390295	393944	337264	337305	337941
78208	336657	336961	337484	336650	338003	337623	336776	336661	336679	336966	336748	336651	392588	336751	337620	337305	392841	337805	339326	337757	337782	337045	337077	337088	336653	451475	336714	392550	337084	338339	577072	336924	390295	337174	337462	392368	337861	336652	336787	336804	336802	348749	384992	337100	338262	336654	390998	338368	514309	336894
3632	336651	336650	336658	336653	22168	336659	336665	336661	577072	336652	336657	337063	337174	337045	336679	336896	336654	337305	336751	337125	348749	336804	336828	336681	336966	336656	336838	336717	337088	336748	336793	337064	336739	336924	337090	336743	336785	336735	336760	393174	337077	336668	384125	336961	337082	337264	451475	337465	337554	336872
10651	22168	337174	337045	336838	336658	336857	336651	336661	336650	336654	336760	336786	336668	336717	337088	336652	336656	336713	336665	386896	336776	336683	337059	392319	577072	336828	337100	337941	336924	572515	336868	336879	336653	337264	336659	573326	337315	338059	490817	601013	338185	394183	392202	336764	336792	348749	337484	337023	337581	337203
88487	336661	393174	336808	337045	336793	336679	336653	337264	336751	336656	336748	336665	336896	336651	451475	336838	337088	22168	336658	336966	336952	337021	394640	336650	338220	337059	336812	336961	348749	577072	336785	337465	393528	337305	337174	517813	576842	336652	338192	336731	337554	336742	336839	392214	337590	337090	576295	337397	336659	338255
88484	336650	336658	336812	574203	336652	337082	469362	337064	336651	336665	337100	337088	393174	336661	336654	336653	336748	390459	337941	452859	337260	467501	394183	337681	392705	601013	516754	337167	336879	337285	494047	336922	336785	392368	337919	466412	573326	336797	347311	337077	348750	339241	338013	470701	572515	336828	409143	337203	393677	409196
