userId	appId
1	336653
1	336714
1	336785
1	336679
1	336665
1	336651
1	348749
1	336650
1	336713
1	336799
1	336739
1	336804
1	339326
1	392319
1	337092
1	336683
1	337112
1	337177
1	336978
1	336764
1	337336
1	337023
1	351239
1	336668
1	337481
1	401466
1	336734
1	337063
1	336740
1	336743
1	577072
1	336652
1	336748
2	577072
2	336793
2	336962
2	336748
2	336653
2	336966
2	337174
2	336661
2	336657
2	336802
2	337059
2	336785
2	336679
2	336651
2	336838
2	336654
2	336658
2	336659
2	348749
2	22168
2	336751
2	337077
2	336650
2	336922
2	336760
2	336896
2	336739
2	336656
2	336792
2	337554
2	336879
2	336717
2	392796
2	336660
2	337954
2	336683
2	337064
2	336764
2	337336
2	336668
2	336762
2	336857
2	337073
2	337090
2	337063
2	336901
2	336743
3	336653
3	336679
3	336748
4	336885
4	336652
4	336748
4	336653
4	336657
4	336665
4	336651
4	336654
4	336658
4	336650
4	336668
5	336653
5	337059
5	337045
5	336679
5	336838
5	22168
5	336792
5	336952
5	337481
6	22168
11	336653
11	336679
11	336651
11	336739
13	336657
13	336651
13	22168
13	336650
13	336652
19	336650
21	336679
25	336650
28	336714
28	336664
28	336667
45	336653
45	336679
45	336658
45	22168
45	336650
67	336653
67	336661
67	336714
67	337045
67	336679
67	336665
67	336651
67	336838
67	336658
67	336659
67	22168
67	336650
67	336896
67	336804
67	337315
67	336717
67	336924
67	337485
67	337479
67	337321
67	337481
67	337484
67	337480
67	337090
67	337063
67	337307
67	336748
79	336653
79	336714
79	336679
79	336658
79	336650
85	336653
88	336966
96	336952
96	336748
125	336966
125	336802
126	337092
133	22168
133	336650
160	348749
168	22168
184	336653
184	336651
184	336658
184	336659
184	22168
184	336650
184	336652
226	337088
226	336804
226	337861
263	336802
286	336650
309	336653
309	336651
309	336952
309	336748
312	336661
312	337100
312	336657
312	337305
312	336961
312	337203
312	336679
312	336651
312	336838
312	337125
312	336659
360	337305
360	336802
360	336651
360	337125
360	337088
360	348749
360	337021
360	338058
360	393677
387	337336
410	336653
410	336651
415	336679
415	22168
415	336681
415	336748
428	336966
428	336651
428	338003
460	336653
460	336661
460	336802
460	336679
460	336651
460	336658
460	336659
460	336751
460	336683
460	336668
460	393174
460	336748
490	337181
507	506146
536	336657
536	336679
536	336665
536	336651
536	336664
536	336659
536	22168
543	336653
543	336679
543	337125
543	336654
543	336659
543	336650
546	337861
563	337861
563	336748
573	336656
590	336653
590	336868
590	336651
590	348749
590	336751
668	336714
668	336679
668	336751
668	336650
668	336739
668	337023
668	336812
668	336748
719	336651
719	336659
721	336651
745	336751
757	337306
757	337698
757	393306
757	337084
757	337090
770	336653
770	337305
770	336868
770	336751
770	394640
770	338339
770	337063
823	336653
823	336714
823	336802
823	336679
823	336808
823	336651
823	336751
823	336739
823	336804
823	336805
823	337023
823	336801
823	336807
869	336653
869	336679
871	336802
871	336785
871	336679
871	337125
871	336654
871	337088
871	337414
880	336657
880	336651
896	336838
896	336743
924	336653
967	336799
970	491909
1113	336651
1197	392550
1213	337623
1218	336653
1218	336714
1218	336961
1218	336665
1218	336659
1218	22168
1218	339326
1325	336653
1325	336679
1325	336651
1325	22168
1325	336787
1325	336650
1325	336721
1325	336743
1391	336653
1391	337059
1391	336679
1391	348749
1391	336683
1400	336658
1421	337174
1421	336651
1421	336654
1421	22168
1421	337805
1421	336922
1421	336879
1421	336962
1421	336748
1422	336653
1422	336966
1422	337174
1422	337059
1422	337045
1422	336654
1422	336659
1422	22168
1422	336650
1422	336656
1422	385184
1422	337090
1422	337063
1458	336653
1458	336802
1476	336653
1488	337174
1488	348749
1488	519537
1492	336653
1492	336661
1492	336714
1492	336679
1492	336651
1492	336650
1492	337063
1519	336657
1519	336679
1519	336751
1521	336651
1557	336651
1557	336654
1589	22168
1631	336653
1631	336679
1631	336665
1643	336679
1643	336651
1643	336650
1643	394021
1643	337481
1643	394023
1654	22168
1654	336751
1654	336650
1654	337231
1654	336660
1701	336653
1701	337305
1701	336659
1717	336653
1717	336661
1717	337059
1717	336679
1717	336665
1717	336651
1717	337125
1717	337777
1717	336659
1717	22168
1717	337077
1717	336650
1717	337165
1717	337621
1717	393379
1717	336652
1757	336652
1757	336657
1757	22168
1844	336751
1863	336657
1863	336651
1863	22168
1863	336857
1863	337090
1863	336901
1863	336652
1876	337627
1876	336804
1882	336867
1928	336651
1928	336656
1932	336661
1948	336653
1948	337174
1948	336661
1948	336657
1948	337059
1948	336679
1948	336651
1948	336838
1948	336658
1948	336659
1948	336751
1948	336650
1948	336896
1948	336804
1948	336764
1948	336668
1948	337063
1948	336748
1996	336802
1996	336664
1996	336667
2057	336679
2057	336681
2057	336787
2057	337084
2077	336651
2077	337805
2077	390295
2098	336966
2098	336657
2098	336679
2098	22168
2098	336680
2098	336748
2121	336652
2121	336665
2159	336661
2159	336679
2159	336838
2172	336679
2172	336751
2172	337941
2172	336804
2172	337484
2174	456183
2239	336966
2239	336802
2239	336894
2239	337889
2286	337590
2286	337088
2286	337462
2288	336664
2294	336653
2294	336651
2294	336654
2320	336653
2320	336679
2337	336650
2337	336924
2365	336739
2365	337315
2365	337112
2365	337451
2456	336656
2571	336651
2571	336731
2592	336651
2614	336651
2619	336653
2619	336966
2619	337174
2619	336661
2619	337100
2619	336714
2619	337305
2619	336961
2619	337059
2619	337045
2619	451475
2619	336679
2619	392550
2619	336665
2619	336651
2619	336658
2619	336659
2619	348749
2619	22168
2619	336751
2619	336787
2619	336650
2619	336896
2619	408584
2619	339326
2619	336924
2619	337484
2619	337629
